artist,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year
Nipsey Hussle,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),0.671,0.833,5,-5.152,0,0.395,0.0825,0.0,0.0726,0.702,79.351,audio_features,6ya8ejoKgw906Y8LWclqrp,spotify:track:6ya8ejoKgw906Y8LWclqrp,https://api.spotify.com/v1/tracks/6ya8ejoKgw906Y8LWclqrp,https://api.spotify.com/v1/audio-analysis/6ya8ejoKgw906Y8LWclqrp,233278,4,2019
Rod Wave,Heart On Ice,0.733,0.389,10,-8.468,0,0.0738,0.0513,0.0,0.141,0.244,157.878,audio_features,6fWa5CRgy0z30OeGZyMBvD,spotify:track:6fWa5CRgy0z30OeGZyMBvD,https://api.spotify.com/v1/tracks/6fWa5CRgy0z30OeGZyMBvD,https://api.spotify.com/v1/audio-analysis/6fWa5CRgy0z30OeGZyMBvD,159670,3,2019
Lil Baby,Out The Mud,0.746,0.497,1,-5.785,1,0.149,0.00944,8.6e-05,0.101,0.25,160.051,audio_features,2wZjsbwmWfNVslgV5afl1L,spotify:track:2wZjsbwmWfNVslgV5afl1L,https://api.spotify.com/v1/tracks/2wZjsbwmWfNVslgV5afl1L,https://api.spotify.com/v1/audio-analysis/2wZjsbwmWfNVslgV5afl1L,157816,4,2019
Baby Keem,ORANGE SODA,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,audio_features,5FkoSXiJPKTNyYgALRJFhD,spotify:track:5FkoSXiJPKTNyYgALRJFhD,https://api.spotify.com/v1/tracks/5FkoSXiJPKTNyYgALRJFhD,https://api.spotify.com/v1/audio-analysis/5FkoSXiJPKTNyYgALRJFhD,129882,4,2019
Lil Keed,Nameless,0.875,0.568,11,-8.619,0,0.34,0.0357,0.0,0.113,0.648,140.082,audio_features,4itETlhUWW6GFzYZwEL8do,spotify:track:4itETlhUWW6GFzYZwEL8do,https://api.spotify.com/v1/tracks/4itETlhUWW6GFzYZwEL8do,https://api.spotify.com/v1/audio-analysis/4itETlhUWW6GFzYZwEL8do,185267,4,2019
Chase Rice,Lonely If You Are,0.593,0.745,7,-4.37,1,0.0574,0.19,0.0,0.227,0.849,169.951,audio_features,1Ut1A8UaNqGuwsHgWq75PW,spotify:track:1Ut1A8UaNqGuwsHgWq75PW,https://api.spotify.com/v1/tracks/1Ut1A8UaNqGuwsHgWq75PW,https://api.spotify.com/v1/audio-analysis/1Ut1A8UaNqGuwsHgWq75PW,175067,4,2019
Trippie Redd,Death,0.802,0.82,10,-5.969,0,0.146,0.0579,0.0,0.149,0.613,164.005,audio_features,3Kd6Wp3lG5HXMB2dlvuy7y,spotify:track:3Kd6Wp3lG5HXMB2dlvuy7y,https://api.spotify.com/v1/tracks/3Kd6Wp3lG5HXMB2dlvuy7y,https://api.spotify.com/v1/audio-analysis/3Kd6Wp3lG5HXMB2dlvuy7y,172196,4,2019
Doja Cat,Tia Tamera (feat. Rico Nasty),0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,audio_features,1uNePI826aqh9uC9pgbeHU,spotify:track:1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/tracks/1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/audio-analysis/1uNePI826aqh9uC9pgbeHU,211013,4,2019
Florida Georgia Line,Blessings,0.466,0.672,4,-5.926,1,0.036,0.737,0.0,0.0858,0.334,89.081,audio_features,7dnDBbHKyJNFXoeVwO8KBY,spotify:track:7dnDBbHKyJNFXoeVwO8KBY,https://api.spotify.com/v1/tracks/7dnDBbHKyJNFXoeVwO8KBY,https://api.spotify.com/v1/audio-analysis/7dnDBbHKyJNFXoeVwO8KBY,198520,4,2019
83 Babies,No Cap (feat. Rich The Kid),0.811,0.512,8,-7.455,1,0.316,0.354,0.0,0.102,0.752,139.918,audio_features,6BuM812WOnmiZ3sQdEwL4T,spotify:track:6BuM812WOnmiZ3sQdEwL4T,https://api.spotify.com/v1/tracks/6BuM812WOnmiZ3sQdEwL4T,https://api.spotify.com/v1/audio-analysis/6BuM812WOnmiZ3sQdEwL4T,260875,4,2019
